station,valid,vsby,wxcodes,drct,sknt,metar
WABB,2023-09-01 11:30,6.21,M,M,2.00,WABB 011130Z VRB02KT 9999 SCT018 26/25 Q1010 NOSIG
WABB,2023-09-01 12:00,6.21,M,10.00,4.00,WABB 011200Z 01004KT 010V260 9999 SCT018 26/24 Q1011 NOSIG
WABB,2023-09-01 12:30,6.21,M,10.00,4.00,WABB 011230Z 01004KT 010V250 9999 SCT018 26/24 Q1011 NOSIG
WABB,2023-09-01 13:00,6.21,M,M,2.00,WABB 011300Z VRB02KT 9999 FEW018 26/25 Q1011 NOSIG
WABB,2023-09-01 13:30,6.21,M,20.00,3.00,WABB 011330Z 02003KT 020V250 9999 FEW018 26/25 Q1011 NOSIG
WABB,2023-09-01 14:00,6.21,M,50.00,3.00,WABB 011400Z 05003KT 220V050 9999 FEW018 26/25 Q1011 NOSIG
WABB,2023-09-01 14:30,6.21,M,330.00,3.00,WABB 011430Z 33003KT 160V330 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-01 15:00,6.21,M,M,2.00,WABB 011500Z VRB02KT 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-01 15:30,6.21,M,360.00,3.00,WABB 011530Z 36003KT 180V360 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-01 16:00,6.21,M,M,2.00,WABB 011600Z VRB02KT 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-01 16:30,6.21,M,M,2.00,WABB 011630Z VRB02KT 9999 FEW018 26/25 Q1009 NOSIG
WABB,2023-09-01 17:00,6.21,M,M,2.00,WABB 011700Z VRB02KT 9999 FEW018 26/24 Q1009 NOSIG
WABB,2023-09-01 17:30,6.21,M,0.00,0.00,WABB 011730Z 00000KT 9999 FEW018 25/24 Q1009 NOSIG
WABB,2023-09-01 18:00,6.21,M,0.00,0.00,WABB 011800Z 00000KT 9999 FEW018 25/24 Q1009 NOSIG
WABB,2023-09-01 18:30,6.21,M,M,2.00,WABB 011830Z VRB02KT 9999 FEW018 25/24 Q1008 NOSIG
WABB,2023-09-01 19:00,6.21,M,M,2.00,WABB 011900Z VRB02KT 9999 FEW018 25/24 Q1009 NOSIG
WABB,2023-09-01 19:30,6.21,M,M,2.00,WABB 011930Z VRB02KT 9999 FEW018 24/24 Q1009 NOSIG
WABB,2023-09-01 20:00,6.21,M,0.00,0.00,WABB 012000Z 00000KT 9999 FEW018 24/24 Q1009 NOSIG
WABB,2023-09-01 20:30,6.21,M,M,2.00,WABB 012030Z VRB02KT 9999 FEW018 24/24 Q1009 NOSIG
WABB,2023-09-01 21:00,6.21,M,M,2.00,WABB 012100Z VRB02KT 9999 FEW018 24/24 Q1009 NOSIG
WABB,2023-09-01 21:30,6.21,M,M,2.00,WABB 012130Z VRB02KT 9999 FEW018 25/24 Q1009 NOSIG
WABB,2023-09-01 22:00,6.21,M,M,2.00,WABB 012200Z VRB02KT 9999 FEW018 26/25 Q1009 NOSIG
WABB,2023-09-01 22:30,6.21,M,M,2.00,WABB 012230Z VRB02KT 9999 FEW018 28/26 Q1010 NOSIG
WABB,2023-09-01 23:00,6.21,M,180.00,3.00,WABB 012300Z 18003KT 010V180 9999 FEW018 30/26 Q1010 NOSIG
WABB,2023-09-01 23:30,6.21,M,150.00,3.00,WABB 012330Z 15003KT 110V180 9999 FEW018 29/26 Q1010 NOSIG
WABB,2023-09-02 00:00,6.21,M,170.00,3.00,WABB 020000Z 17003KT 100V170 9999 FEW018 30/26 Q1010 NOSIG
WABB,2023-09-02 00:30,6.21,M,160.00,3.00,WABB 020030Z 16003KT 100V160 9999 FEW018 30/25 Q1010 NOSIG
WABB,2023-09-02 01:00,6.21,M,160.00,5.00,WABB 020100Z 16005KT 110V170 9999 FEW018 30/25 Q1010 NOSIG
WABB,2023-09-02 01:30,6.21,M,150.00,2.00,WABB 020130Z 15002KT 9999 FEW018 31/25 Q1009 NOSIG
WABB,2023-09-02 02:00,6.21,M,110.00,4.00,WABB 020200Z 11004KT 120V180 9999 FEW018 30/25 Q1009 NOSIG
WABB,2023-09-02 02:30,6.21,M,140.00,3.00,WABB 020230Z 14003KT 9999 FEW018 30/25 Q1009 NOSIG
WABB,2023-09-02 03:00,6.21,M,130.00,6.00,WABB 020300Z 13006KT 9999 FEW018 30/25 Q1008 NOSIG
WABB,2023-09-02 03:30,6.21,M,140.00,5.00,WABB 020330Z 14005KT 9999 FEW018 31/25 Q1008 NOSIG
WABB,2023-09-02 04:00,6.21,M,160.00,4.00,WABB 020400Z 16004KT 9999 FEW018 30/25 Q1007 NOSIG
WABB,2023-09-02 04:30,6.21,M,170.00,3.00,WABB 020430Z 17003KT 110V170 9999 FEW018 31/26 Q1007 NOSIG
WABB,2023-09-02 05:00,6.21,M,160.00,4.00,WABB 020500Z 16004KT 120V180 9999 FEW018 31/26 Q1007 NOSIG
WABB,2023-09-02 05:30,6.21,M,190.00,5.00,WABB 020530Z 19005KT 090V190 9999 FEW018 31/25 Q1006 NOSIG
WABB,2023-09-02 06:00,6.21,M,170.00,4.00,WABB 020600Z 17004KT 100V170 9999 FEW018 31/25 Q1006 NOSIG
WABB,2023-09-02 06:30,6.21,M,220.00,3.00,WABB 020630Z 22003KT 100V220 9999 FEW018 31/25 Q1006 NOSIG
WABB,2023-09-02 07:00,6.21,M,170.00,3.00,WABB 020700Z 17003KT 100V170 9999 FEW018 30/25 Q1006 NOSIG
WABB,2023-09-02 07:30,6.21,M,140.00,3.00,WABB 020730Z 14003KT 9999 FEW018 30/25 Q1006 NOSIG
WABB,2023-09-02 08:00,6.21,M,0.00,0.00,WABB 020800Z 00000KT 9999 FEW018 29/25 Q1007 NOSIG
WABB,2023-09-02 08:30,6.21,M,0.00,0.00,WABB 020830Z 00000KT 9999 FEW018 29/25 Q1007 NOSIG
WABB,2023-09-02 09:00,6.21,M,340.00,5.00,WABB 020900Z 34005KT 150V340 9999 FEW018 28/25 Q1007 NOSIG
WABB,2023-09-02 09:30,6.21,M,320.00,8.00,WABB 020930Z 32008KT 140V320 9999 FEW018 27/25 Q1008 NOSIG
WABB,2023-09-02 10:00,6.21,M,330.00,6.00,WABB 021000Z 33006KT 140V330 9999 FEW018 27/25 Q1008 NOSIG
WABB,2023-09-02 10:30,6.21,M,330.00,6.00,WABB 021030Z 33006KT 140V330 9999 FEW018 27/25 Q1009 NOSIG
WABB,2023-09-02 11:00,6.21,M,310.00,3.00,WABB 021100Z 31003KT 140V310 9999 FEW018 26/25 Q1009 NOSIG
WABB,2023-09-02 11:30,6.21,M,360.00,4.00,WABB 021130Z 36004KT 170V360 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 12:00,6.21,M,M,2.00,WABB 021200Z VRB02KT 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 12:30,6.21,M,340.00,3.00,WABB 021230Z 34003KT 150V340 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 13:00,6.21,M,320.00,3.00,WABB 021300Z 32003KT 140V320 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 13:30,6.21,M,320.00,5.00,WABB 021330Z 32005KT 150V320 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 14:00,6.21,M,320.00,6.00,WABB 021400Z 32006KT 140V320 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 14:30,6.21,M,M,2.00,WABB 021430Z VRB02KT 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 15:00,6.21,M,320.00,4.00,WABB 021500Z 32004KT 140V320 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 15:30,6.21,M,M,2.00,WABB 021530Z VRB02KT 9999 FEW018 26/25 Q1010 NOSIG
WABB,2023-09-02 16:00,6.21,M,360.00,3.00,WABB 021600Z 36003KT 260V360 9999 FEW018 26/25 Q1009 NOSIG
WABB,2023-09-02 16:30,6.21,M,300.00,7.00,WABB 021630Z 30007KT 130V300 9999 FEW017CB FEW018 25/25 Q1009 NOSIG RMK CB AT SE
WABB,2023-09-02 17:00,6.21,TS,M,2.00,WABB 021700Z VRB02KT 9999 TS FEW017CB SCT018 25/25 Q1009 NOSIG RMK CB AT SE
WABB,2023-09-02 17:30,6.21,M,300.00,3.00,WABB 021730Z 30003KT 130V300 9999 FEW017CB SCT018 25/25 Q1009 RETS NOSIG RMK CB AT SE
WABB,2023-09-02 18:00,3.73,-RA,50.00,7.00,WABB 021800Z 05007KT 050V260 6000 -RA FEW017CB SCT018 26/25 Q1009 TEMPO +RA RMK CB AT SE
WABB,2023-09-02 18:30,5.59,-RA,M,2.00,WABB 021830Z VRB02KT 9000 -RA FEW017CB SCT018 26/25 Q1009 TEMPO -RA RMK CB AT S
WABB,2023-09-02 19:00,5.59,M,310.00,3.00,WABB 021900Z 31003KT 120V310 9000 FEW017CB SCT018 25/25 Q1009 R ERA NOSIG RMK CB AT S
WABB,2023-09-02 19:30,5.59,TS,20.00,3.00,WABB 021930Z 02003KT 020V230 9000 TS FEW017CB SCT018 25/25 Q1009 NOSIG RMK CB AT SW AND N
WABB,2023-09-02 20:00,2.49,RA,350.00,5.00,WABB 022000Z 35005KT 170V350 4000 RA FEW017CB SCT018 OVC100 24/24 Q1010 TEMPO +RA RMK CB AT SW
WABB,2023-09-02 20:30,5.59,-RA,360.00,4.00,WABB 022030Z 36004KT 180V360 9000 -RA SCT018 BKN100 24/24 Q1010 NOSIG
WABB,2023-09-02 21:00,5.59,M,0.00,0.00,WABB 022100Z 00000KT 9000 FEW017CB SCT018 BKN100 24/24 Q1010 RERA NOSIG RMK CB AT W
WABB,2023-09-02 21:30,5.59,M,0.00,0.00,WABB 022130Z 00000KT 9000 FEW017CB SCT018 BKN100 24/24 Q1011 NOSIG RMK CB AT W
WABB,2023-09-02 22:00,5.59,M,360.00,4.00,WABB 022200Z 36004KT 180V360 9000 FEW017CB SCT018 BKN100 25/25 Q1011 NOSIG RMK CB AT W
WABB,2023-09-02 22:30,5.59,-RA,360.00,3.00,WABB 022230Z 36003KT 180V360 9000 -RA SCT018 BKN100 25/24 Q1011 TEMPO -RA
WABB,2023-09-02 23:00,5.59,-RA,70.00,4.00,WABB 022300Z 07004KT 200V070 9000 -RA SCT018 BKN100 26/25 Q1011 TEMPO -RA
WABB,2023-09-02 23:30,6.21,M,110.00,2.00,WABB 022330Z 11002KT 9999 SCT018 BKN100 27/25 Q1011 NOSIG
WABB,2023-09-03 00:00,6.21,M,M,2.00,WABB 030000Z VRB02KT 9999 SCT018 SCT100 28/26 Q1011 NOSIG
WABB,2023-09-03 00:30,6.21,M,140.00,3.00,WABB 030030Z 14003KT 9999 SCT018 SCT100 28/25 Q1011 NOSIG
WABB,2023-09-03 01:00,6.21,M,M,2.00,WABB 030100Z VRB02KT 9999 SCT018 SCT100 28/26 Q1011 NOSIG
WABB,2023-09-03 01:30,5.59,VCSH,180.00,3.00,WABB 030130Z 18003KT 090V190 9000 VCSH SCT018 SCT100 29/26 Q1011 NOSIG
WABB,2023-09-03 02:00,1.86,-RA,M,2.00,WABB 030200Z VRB02KT 3000 -RA BKN018 OVC100 28/26 Q1011 TEMPO -RA
WABB,2023-09-03 02:30,4.97,-RA,310.00,4.00,WABB 030230Z 31004KT 140V310 8000 -RA BKN018 OVC100 26/26 Q1010 TEMPO -RA
WABB,2023-09-03 03:00,4.97,-RA,360.00,4.00,WABB 030300Z 36004KT 250V360 8000 -RA BKN018 BKN100 27/26 Q1010 NOSIG
WABB,2023-09-03 03:30,5.59,-RA,40.00,4.00,WABB 030330Z 04004KT 220V040 9000 -RA BKN018 28/26 Q1009 NOSIG
WABB,2023-09-03 04:00,6.21,M,100.00,3.00,WABB 030400Z 10003KT 200V100 9999 SCT018 29/26 Q1009 RERA NOSIG
WABB,2023-09-03 04:30,6.21,M,40.00,3.00,WABB 030430Z 04003KT 240V040 9999 SCT018 SCT100 28/26 Q1009 NOSIG
WABB,2023-09-03 05:00,6.21,M,140.00,3.00,WABB 030500Z 14003KT 9999 SCT018 BKN100 29/26 Q1008 NOSIG
WABB,2023-09-03 05:30,6.21,M,100.00,3.00,WABB 030530Z 10003KT 9999 SCT018 BKN100 29/26 Q1008 NOSIG
WABB,2023-09-03 06:00,6.21,M,110.00,4.00,WABB 030600Z 11004KT 160V100 9999 SCT018 BKN100 28/26 Q1008 NOSIG
WABB,2023-09-03 06:30,6.21,M,90.00,7.00,WABB 030630Z 09007KT 160V090 9999 SCT018 BKN100 28/25 Q1008 NOSIG
WABB,2023-09-03 07:00,6.21,M,60.00,4.00,WABB 030700Z 06004KT 220V060 9999 SCT018 BKN100 29/25 Q1008 NOSIG
WABB,2023-09-03 07:30,6.21,M,110.00,5.00,WABB 030730Z 11005KT 170V110 9999 SCT018 BKN100 29/25 Q1008 NOSIG
WABB,2023-09-03 08:00,6.21,M,90.00,4.00,WABB 030800Z 09004KT 180V090 9999 SCT018 BKN100 28/24 Q1008 NOSIG
WABB,2023-09-03 08:30,6.21,M,60.00,4.00,WABB 030830Z 06004KT 180V060 9999 SCT018 BKN100 28/24 Q1009 NOSIG
WABB,2023-09-03 09:00,6.21,M,M,2.00,WABB 030900Z VRB02KT 9999 SCT018 BKN100 28/25 Q1009 NOSIG
WABB,2023-09-03 09:30,6.21,M,M,2.00,WABB 030930Z VRB02KT 9999 SCT018 BKN100 27/25 Q1009 NOSIG
WABB,2023-09-03 10:00,6.21,M,320.00,3.00,WABB 031000Z 32003KT 140V320 9999 SCT018 BKN100 27/25 Q1009 NOSIG
WABB,2023-09-03 10:30,6.21,M,M,2.00,WABB 031030Z VRB02KT 9999 SCT018 BKN100 26/25 Q1010 NOSIG
WABB,2023-09-03 11:00,6.21,M,M,2.00,WABB 031100Z VRB02KT 9999 SCT018 BKN100 26/25 Q1011 NOSIG
WABB,2023-09-03 11:30,6.21,M,360.00,3.00,WABB 031130Z 36003KT 170V360 9999 SCT018 BKN100 26/25 Q1010 NOSIG
WABB,2023-09-03 12:00,6.21,M,30.00,4.00,WABB 031200Z 03004KT 230V030 9999 SCT018 BKN100 28/25 Q1010 NOSIG
WABB,2023-09-03 12:30,6.21,M,40.00,3.00,WABB 031230Z 04003KT 230V040 9999 SCT018 BKN100 26/25 Q1011 NOSIG
WABB,2023-09-03 13:00,4.97,-RA,0.00,0.00,WABB 031300Z 00000KT 8000 -RA BKN018 BKN100 26/24 Q1011 NOSIG
WABB,2023-09-03 13:30,4.97,-RA,320.00,5.00,WABB 031330Z 32005KT 140V320 8000 -RA BKN018 BKN100 26/24 Q1011 NOSIG
WABB,2023-09-03 14:00,4.97,M,340.00,9.00,WABB 031400Z 34009KT 150V340 8000 BKN018 BKN100 25/23 Q1011 RERA NOSIG
WABB,2023-09-03 14:30,4.97,M,360.00,6.00,WABB 031430Z 36006KT 170V360 8000 BKN018 BKN100 24/23 Q1011 NOSIG
WABB,2023-09-03 15:00,6.21,M,350.00,3.00,WABB 031500Z 35003KT 180V350 9999 SCT018 BKN100 25/23 Q1010 NOSIG
WABB,2023-09-03 15:30,6.21,M,0.00,0.00,WABB 031530Z 00000KT 9999 SCT018 BKN100 24/23 Q1010 NOSIG
WABB,2023-09-03 16:00,6.21,M,300.00,5.00,WABB 031600Z 30005KT 120V300 9999 SCT018 BKN100 24/23 Q1010 NOSIG
WABB,2023-09-03 16:30,6.21,M,320.00,4.00,WABB 031630Z 32004KT 140V320 9999 SCT018 BKN100 25/23 Q1010 NOSIG
WABB,2023-09-03 17:00,4.97,-RA,320.00,4.00,WABB 031700Z 32004KT 140V320 8000 -RA SCT018 OVC100 24/24 Q1010 NOSIG
WABB,2023-09-03 17:30,4.97,-RA,300.00,3.00,WABB 031730Z 30003KT 140V300 8000 -RA SCT018 OVC100 24/23 Q1010 NOSIG
WABB,2023-09-03 18:00,4.97,-RA,M,2.00,WABB 031800Z VRB02KT 8000 -RA SCT018 OVC100 24/23 Q1010 NOSIG
WABB,2023-09-03 18:30,4.97,-RA,M,2.00,WABB 031830Z VRB02KT 8000 -RA SCT018 OVC100 24/24 Q1010 NOSIG
WABB,2023-09-03 19:00,4.97,-RA,M,2.00,WABB 031900Z VRB02KT 8000 -RA SCT018 OVC100 24/24 Q1010 NOSIG
WABB,2023-09-03 19:30,4.97,-RA,M,2.00,WABB 031930Z VRB02KT 8000 -RA SCT018 OVC100 24/24 Q1010 NOSIG
WABB,2023-09-03 20:00,4.97,-RA,30.00,3.00,WABB 032000Z 03003KT 230V030 8000 -RA SCT018 OVC100 24/24 Q1010 NOSIG
WABB,2023-09-03 20:30,4.97,M,50.00,4.00,WABB 032030Z 05004KT 210V050 8000 SCT018 BKN100 25/24 Q1010 RERA NOSIG
WABB,2023-09-03 21:00,6.21,M,M,2.00,WABB 032100Z VRB02KT 9999 SCT018 BKN100 24/24 Q1010 NOSIG
WABB,2023-09-03 21:30,6.21,M,0.00,0.00,WABB 032130Z 00000KT 9999 SCT018 BKN100 24/24 Q1010 NOSIG
WABB,2023-09-03 22:00,6.21,M,M,2.00,WABB 032200Z VRB02KT 9999 SCT018 BKN100 25/24 Q1010 NOSIG
WABB,2023-09-03 22:30,5.59,-RA,320.00,3.00,WABB 032230Z 32003KT 140V320 9000 -RA SCT018 BKN100 25/24 Q1011 NOSIG
WABB,2023-09-03 23:00,5.59,-RA,10.00,3.00,WABB 032300Z 01003KT 010V250 9000 -RA SCT018 BKN100 25/24 Q1011 NOSIG
WABB,2023-09-03 23:30,5.59,-RA,40.00,3.00,WABB 032330Z 04003KT 240V040 9000 -RA SCT018 BKN100 26/25 Q1011 NOSIG
WABB,2023-09-04 00:00,5.59,M,M,2.00,WABB 040000Z VRB02KT 9000 SCT018 BKN100 26/25 Q1011 NOSIG
WABB,2023-09-04 00:30,5.59,M,M,2.00,WABB 040030Z VRB02KT 9000 SCT018 BKN100 27/25 Q1011 NOSIG
WABB,2023-09-04 01:00,5.59,M,0.00,0.00,WABB 040100Z 00000KT 9000 SCT018 BKN100 28/25 Q1011 NOSIG
WABB,2023-09-04 01:30,6.21,M,M,2.00,WABB 040130Z VRB02KT 9999 SCT018 SCT100 28/25 Q1011 NOSIG
WABB,2023-09-04 02:00,6.21,M,200.00,4.00,WABB 040200Z 20004KT 020V200 9999 SCT018 SCT100 28/25 Q1010 NOSIG
WABB,2023-09-04 02:30,6.21,M,160.00,5.00,WABB 040230Z 16005KT 090V160 9999 SCT018 29/25 Q1010 NOSIG
WABB,2023-09-04 03:00,6.21,M,160.00,3.00,WABB 040300Z 16003KT 100V160 9999 SCT018 29/25 Q1009 NOSIG
WABB,2023-09-04 03:30,6.21,M,150.00,4.00,WABB 040330Z 15004KT 9999 SCT018 29/25 Q1009 NOSIG
WABB,2023-09-04 04:00,6.21,M,140.00,8.00,WABB 040400Z 14008KT 9999 SCT018 30/25 Q1009 NOSIG
WABB,2023-09-04 04:30,6.21,M,110.00,8.00,WABB 040430Z 11008KT 9999 SCT018 30/25 Q1008 NOSIG
WABB,2023-09-04 05:00,6.21,M,100.00,8.00,WABB 040500Z 10008KT 160V100 9999 SCT018 30/25 Q1008 NOSIG
WABB,2023-09-04 05:30,4.97,M,290.00,8.00,WABB 040530Z 29008KT 130V290 8000 SCT018 BKN100 28/25 Q1008 NOSIG
WABB,2023-09-04 06:00,4.35,-RA,290.00,9.00,WABB 040600Z 29009KT 110V290 7000 -RA SCT018 BKN100 25/24 Q1008 NOSIG
WABB,2023-09-04 06:30,4.35,-RA,300.00,4.00,WABB 040630Z 30004KT 120V300 7000 -RA SCT018 BKN100 25/25 Q1008 NOSIG
WABB,2023-09-04 07:00,6.21,M,310.00,5.00,WABB 040700Z 31005KT 120V310 9999 SCT018 SCT100 26/25 Q1008 NOSIG
WABB,2023-09-04 07:30,6.21,M,280.00,5.00,WABB 040730Z 28005KT 110V280 9999 SCT018 SCT100 27/25 Q1008 NOSIG
WABB,2023-09-04 08:00,6.21,M,310.00,5.00,WABB 040800Z 31005KT 130V310 9999 SCT018 SCT100 28/25 Q1009 NOSIG
WABB,2023-09-04 08:30,6.21,M,M,2.00,WABB 040830Z VRB02KT 9999 SCT018 SCT100 28/26 Q1009 NOSIG
WABB,2023-09-04 09:00,6.21,M,290.00,3.00,WABB 040900Z 29003KT 120V290 9999 SCT018 SCT100 27/26 Q1009 NOSIG
WABB,2023-09-04 09:30,6.21,M,M,2.00,WABB 040930Z VRB02KT 9999 SCT018 SCT100 27/26 Q1010 NOSIG
WABB,2023-09-04 10:00,5.59,M,M,2.00,WABB 041000Z VRB02KT 9000 SCT018 SCT100 26/26 Q1010 NOSIG
WABB,2023-09-04 10:30,5.59,M,320.00,4.00,WABB 041030Z 32004KT 140V320 9000 SCT018 SCT100 26/25 Q1010 NOSIG
WABB,2023-09-04 11:00,5.59,M,M,2.00,WABB 041100Z VRB02KT 9000 SCT018 SCT100 26/26 Q1011 NOSIG
WABB,2023-09-04 11:30,5.59,M,M,2.00,WABB 041130Z VRB02KT 9000 SCT018 SCT100 26/26 Q1011 NOSIG
WABB,2023-09-04 12:00,5.59,M,0.00,0.00,WABB 041200Z 00000KT 9000 SCT018 SCT100 26/25 Q1011 NOSIG
WABB,2023-09-04 12:30,5.59,M,M,2.00,WABB 041230Z VRB02KT 9000 SCT018 SCT100 26/25 Q1011 NOSIG
WABB,2023-09-04 13:00,5.59,M,M,2.00,WABB 041300Z VRB02KT 9000 SCT018 SCT100 25/25 Q1011 NOSIG
WABB,2023-09-04 13:30,5.59,M,20.00,3.00,WABB 041330Z 02003KT 020V250 9000 SCT018 SCT100 25/25 Q1011 NOSIG
WABB,2023-09-04 14:00,5.59,M,M,2.00,WABB 041400Z VRB02KT 9000 SCT018 SCT100 25/25 Q1011 NOSIG
WABB,2023-09-04 14:30,5.59,M,M,2.00,WABB 041430Z VRB02KT 9000 SCT018 SCT100 25/24 Q1011 NOSIG
WABB,2023-09-04 15:00,5.59,M,M,2.00,WABB 041500Z VRB02KT 9000 SCT018 SCT100 25/24 Q1010 NOSIG
WABB,2023-09-04 15:30,5.59,M,M,2.00,WABB 041530Z VRB02KT 9000 SCT018 SCT100 25/24 Q1010 NOSIG
WABB,2023-09-04 16:00,5.59,M,M,2.00,WABB 041600Z VRB02KT 9000 SCT018 SCT100 25/24 Q1010 NOSIG
WABB,2023-09-04 16:30,5.59,M,90.00,6.00,WABB 041630Z 09006KT 180V090 9000 SCT018 SCT100 26/25 Q1009 NOSIG
WABB,2023-09-04 17:00,5.59,M,40.00,3.00,WABB 041700Z 04003KT 230V040 9000 SCT018 SCT100 25/24 Q1009 NOSIG
WABB,2023-09-04 17:30,5.59,M,40.00,3.00,WABB 041730Z 04003KT 230V040 9000 SCT018 SCT100 25/24 Q1009 NOSIG
WABB,2023-09-04 18:00,5.59,M,90.00,4.00,WABB 041800Z 09004KT 160V090 9000 SCT018 SCT100 26/25 Q1009 NOSIG
WABB,2023-09-04 18:30,5.59,M,50.00,4.00,WABB 041830Z 05004KT 220V050 9000 SCT018 BKN100 26/25 Q1009 NOSIG
WABB,2023-09-04 19:00,5.59,M,20.00,5.00,WABB 041900Z 02005KT 020V260 9000 SCT018 BKN100 26/25 Q1009 NOSIG
WABB,2023-09-04 19:30,5.59,M,40.00,3.00,WABB 041930Z 04003KT 240V040 9000 SCT018 BKN100 26/25 Q1009 NOSIG
WABB,2023-09-04 20:00,5.59,M,40.00,4.00,WABB 042000Z 04004KT 230V040 9000 SCT018 BKN100 26/25 Q1010 NOSIG
WABB,2023-09-04 20:30,5.59,M,40.00,4.00,WABB 042030Z 04004KT 230V040 9000 SCT018 BKN100 25/24 Q1009 NOSIG
WABB,2023-09-04 21:00,5.59,M,50.00,3.00,WABB 042100Z 05003KT 220V050 9000 SCT018 BKN100 25/24 Q1010 NOSIG
WABB,2023-09-04 21:30,5.59,M,30.00,4.00,WABB 042130Z 03004KT 030V240 9000 SCT018 BKN100 25/24 Q1010 NOSIG
WABB,2023-09-04 22:00,5.59,M,50.00,4.00,WABB 042200Z 05004KT 210V050 9000 SCT018 BKN100 26/25 Q1011 NOSIG
WABB,2023-09-04 22:30,5.59,M,60.00,4.00,WABB 042230Z 06004KT 200V060 9000 SCT018 BKN100 27/26 Q1011 NOSIG
WABB,2023-09-04 23:00,5.59,M,100.00,4.00,WABB 042300Z 10004KT 180V100 9000 SCT018 BKN100 28/25 Q1011 NOSIG
WABB,2023-09-04 23:30,5.59,M,100.00,7.00,WABB 042330Z 10007KT 160V100 9000 SCT018 BKN100 28/26 Q1012 NOSIG
WABB,2023-09-05 00:00,5.59,M,100.00,9.00,WABB 050000Z 10009KT 160V100 9000 FEW018 BKN100 29/26 Q1012 NOSIG
